"","subj","block","ttype","mag","amp","msrt","pcpd","bpcpd","corr","tlx","WM_mean","fTE_ML","bTE_ML","wm","slos","ints","ttypeC","ttypeE"
"111","c_P08","0","EASY",0.749269561054302,89.4961814451827,0.803515055216979,-0.344505841980534,-0.938174841548658,1,5.6,5.5,6,5,"low",0.39521644860949,-18.3718625360866,"EASY","EASY"
"112","c_P08","1","CONTROL",0.0488776471077335,77.5983398163265,0.976063111246929,0.135727921782079,-0.497678253142721,1,1.2,5.5,6,5,"low",0.367485455437997,-17.7741737304834,"CONTROL","CONTROL"
"113","c_P08","1","DIFF",1.49825398624349,104.094662294118,0.42248738986455,0.338285120664511,0.556922999777811,0.25,7,5.5,6,5,"low",0.199921193238045,-15.2488080564367,"DIFF","DIFF"
"114","c_P08","1","EASY",-0.0182054016693944,74.7106199684814,1.33138132186203,-0.412731269436921,-1.09740709244229,1,2.6,5.5,6,5,"low",0.366580904997042,-19.4794187241035,"EASY","EASY"
"115","c_P08","2","CONTROL",-0.531685541971999,65.5748158156997,0.66144784167434,0.0883938213033289,-0.497678253142721,1,1.6,5.5,6,5,"low",0.0990014862427143,-17.982972529741,"CONTROL","CONTROL"
"116","c_P08","2","DIFF",1.03438504191794,94.1610713224638,0.558904328855774,0.555774972956498,0.609720819127135,0,7,5.5,6,5,"low",0.453413259056502,-19.1850547107652,"DIFF","DIFF"
"117","c_P08","2","EASY",-0.0735798603144025,72.4314990608696,1.39028487971678,-0.0597244146384482,-0.564227189585759,1,1.6,5.5,6,5,"low",0.448258872955252,-21.3314399735555,"EASY","EASY"
"118","c_P08","3","CONTROL",-0.379183973570573,68.2325329694915,0.768557131110441,-0.104627152387709,-0.497678253142721,1,1.6,5.5,6,5,"low",0.406368665623473,-19.877404554646,"CONTROL","CONTROL"
"119","c_P08","3","DIFF",0.715113027741821,87.2634166766304,1.5656409387614,0.310859375288455,0.195557649308095,0.25,6,5.5,6,5,"low",0.341632560311703,-19.5947042892312,"DIFF","DIFF"
"120","c_P08","3","EASY",0.0649646384381306,73.38604192,1.93657753226068,-0.176727804476234,-0.803883379279788,1,1.8,5.5,6,5,"low",0.195757630096336,-21.0952247890119,"EASY","EASY"
"121","c_P08","4","CONTROL",-0.258998734368348,69.5017243646617,0.401809360485881,-0.578409810079259,-0.497678253142721,1,1,5.5,6,5,"low",-0.426803220733206,-15.3670182782225,"CONTROL","CONTROL"
"122","c_P08","4","DIFF",1.15430508127143,94.7858533641975,1.25923600391871,0.422203220821613,-0.156974678593199,0.75,6.2,5.5,6,5,"low",0.598862884812443,-21.8684089384815,"DIFF","DIFF"
"123","c_P08","4","EASY",-0.172061422086636,71.9060643622754,1.11286305136722,-0.0886649560801579,-1.12491764996646,1,3.4,5.5,6,5,"low",-0.145431209067816,-16.2397106797975,"EASY","EASY"
